LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
8m6s        Normal    Pulling                 pod/postgres-0                            Pulling image "postgres:18-alpine"
4m28s       Normal    Created                 pod/postgres-0                            Container created
4m28s       Normal    Started                 pod/postgres-0                            Container started
4m28s       Normal    Pulled                  pod/postgres-0                            Successfully pulled image "postgres:18-alpine" in 3m37.389s (3m37.389s including waiting). Image size: 120060019 bytes.
2m14s       Normal    Killing                 pod/postgres-0                            Stopping container postgres
2m12s       Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-1
2m12s       Normal    Pulled                  pod/postgres-0                            Container image "postgres:18-alpine" already present on machine and can be accessed by the pod
2m12s       Normal    SuccessfulCreate        statefulset/postgres                      Create Pod postgres-0 in StatefulSet postgres successful
2m11s       Normal    Created                 pod/postgres-0                            Container created
2m11s       Normal    Started                 pod/postgres-0                            Container started
